Character,Unicode,Type,StrokeCount,Radical,CurrentIDS,Structure,Semantic,Phonetic,Notes
𱸉,U+31E09,nom,14,竹,,,,,
𱹶,U+31E76,nom,14,糸,,,,,
𱻛,U+31EDB,nom,14,羽,,,,,
𱼓,U+31F13,nom,14,肉,,,,,
𲃪,U+320EA,nom,14,足,,,,,
𲋘,U+322D8,nom,14,食,,,,,
󰁌,U+F004C,nom,14,冫,,,,,
󰁍,U+F004D,nom,14,冫,,,,,
󰁞,U+F005E,nom,14,刀,,,,,
󰁯,U+F006F,nom,14,十,,,,,
󰁷,U+F0077,nom,14,又,,,,,
󰂷,U+F00B7,nom,14,口,,,,,
󰂻,U+F00BB,nom,14,口,,,,,
󰂽,U+F00BD,nom,14,口,,,,,
󰃁,U+F00C1,nom,14,口,,,,,
󰃂,U+F00C2,nom,14,口,,,,,
󰃅,U+F00C5,nom,14,口,,,,,
󰄈,U+F0108,nom,14,土,,,,,
󰄉,U+F0109,nom,14,土,,,,,
󰄊,U+F010A,nom,14,土,,,,,
󰄽,U+F013D,nom,14,宀,,,,,
󰅖,U+F0156,nom,14,尸,,,,,
󰅛,U+F015B,nom,14,山,,,,,
󰅜,U+F015C,nom,14,山,,,,,
󰅾,U+F017E,nom,14,巾,,,,,
󰆓,U+F0193,nom,14,弓,,,,,
󰇟,U+F01DF,nom,14,戈,,,,,
󰈜,U+F021C,nom,14,手,,,,,
󰈞,U+F021E,nom,14,手,,,,,
󰉿,U+F027F,nom,14,曰,,,,,
󰊀,U+F0280,nom,14,曰,,,,,
󰊟,U+F029F,nom,14,木,,,,,
󰊠,U+F02A0,nom,14,木,,,,,
󰊢,U+F02A2,nom,14,木,,,,,
󰊣,U+F02A3,nom,14,木,,,,,
󰊤,U+F02A4,nom,14,木,,,,,
󰋩,U+F02E9,nom,14,水,,,,,
󰋫,U+F02EB,nom,14,水,,,,,
󰋬,U+F02EC,nom,14,水,,,,,
󰋭,U+F02ED,nom,14,水,,,,,
󰋮,U+F02EE,nom,14,水,,,,,
󰋰,U+F02F0,nom,14,水,,,,,
󰌟,U+F031F,nom,14,火,,,,,
󰌠,U+F0320,nom,14,火,,,,,
󰍿,U+F037F,nom,14,疒,,,,,
󰎄,U+F0384,nom,14,疒,,,,,
󰎬,U+F03AC,nom,14,目,,,,,
󰎮,U+F03AE,nom,14,目,,,,,
󰏰,U+F03F0,nom,14,禾,,,,,
󰐩,U+F0429,nom,14,米,,,,,
󰑋,U+F044B,nom,14,糸,,,,,
󰑓,U+F0453,nom,14,糸,,,,,
󰑘,U+F0458,nom,14,糸,,,,,
󰑤,U+F0464,nom,14,糸,,,,,
󰑨,U+F0468,nom,14,糸,,,,,
󰒎,U+F048E,nom,14,耒,,,,,
󰒖,U+F0496,nom,14,耳,,,,,
󰒗,U+F0497,nom,14,耳,,,,,
󰒯,U+F04AF,nom,14,肉,,,,,
󰒸,U+F04B8,nom,14,肉,,,,,
󰒹,U+F04B9,nom,14,肉,,,,,
󰓍,U+F04CD,nom,14,艮,,,,,
󰓦,U+F04E6,nom,14,艹,,,,,
󰓨,U+F04E8,nom,14,艹,,,,,
󰓱,U+F04F1,nom,14,艹,,,,,
󰔒,U+F0512,nom,14,虫,,,,,
󰔓,U+F0513,nom,14,虫,,,,,
󰔔,U+F0514,nom,14,虫,,,,,
󰔺,U+F053A,nom,14,覀,,,,,
󰔽,U+F053D,nom,14,見,,,,,
󰕐,U+F0550,nom,14,言,,,,,
󰕡,U+F0561,nom,14,貝,,,,,
󰕻,U+F057B,nom,14,足,,,,,
󰕼,U+F057C,nom,14,足,,,,,
󰕽,U+F057D,nom,14,足,,,,,
󰖫,U+F05AB,nom,14,辵,,,,,
󰖽,U+F05BD,nom,14,釆,,,,,
󰘛,U+F061B,nom,14,面,,,,,
󰘣,U+F0623,nom,14,頁,,,,,
󰘫,U+F062B,nom,14,𲋄,,,,,
󰘬,U+F062C,nom,14,𲋄,,,,,
󰘭,U+F062D,nom,14,风,,,,,
󰙃,U+F0643,nom,14,馬,,,,,
󰙇,U+F0647,nom,14,骨,,,,,
󰚍,U+F068D,nom,14,鳥,,,,,
󰛅,U+F06C5,nom,14,齿,,,,,
󰛇,U+F06C7,nom,14,齒,,,,,
󰭿,U+F0B7F,nom,14,毛,,,,,
󰯇,U+F0BC7,nom,14,長,,,,,
󰺋,U+F0E8B,nom,14,疒,,,,,
󰺵,U+F0EB5,nom,14,目,,,,,
󱇪,U+F11EA,nom,14,人,,,,,
󱉗,U+F1257,nom,14,力,,,,,
䶶,U+4DB6,nom,15,一,,,,,
𰘝,U+3061D,nom,15,木,,,,,
𱆧,U+311A7,nom,15,魚,,,,,
𱍧,U+31367,nom,15,一,,,,,
𱔢,U+31522,nom,15,口,,,,,
𱔧,U+31527,nom,15,口,,,,,
𱔨,U+31528,nom,15,口,,,,,
𱔩,U+31529,nom,15,口,,,,,
𱔪,U+3152A,nom,15,口,,,,,
𱔫,U+3152B,nom,15,口,,,,,
𱔲,U+31532,nom,15,口,,,,,
𱛀,U+316C0,nom,15,曰,,,,,
𱜏,U+3170F,nom,15,山,,,,,
𱝊,U+3174A,nom,15,广,,,,,
𱟎,U+317CE,nom,15,心,,,,,
𱠳,U+31833,nom,15,手,,,,,
𱠴,U+31834,nom,15,手,,,,,
𱠵,U+31835,nom,15,手,,,,,
𱢤,U+318A4,nom,15,日,,,,,
𱤎,U+3190E,nom,15,木,,,,,
𱨳,U+31A33,nom,15,水,,,,,
𱱟,U+31C5F,nom,15,疒,,,,,
𱱹,U+31C79,nom,15,八,,,,,
𱱽,U+31C7D,nom,15,白,,,,,
𱳆,U+31CC6,nom,15,目,,,,,
𱴥,U+31D25,nom,15,石,,,,,
𱵥,U+31D65,nom,15,示,,,,,
𱹑,U+31E51,nom,15,米,,,,,
𱹻,U+31E7B,nom,15,糸,,,,,
𲀙,U+32019,nom,15,血,,,,,
𲁪,U+3206A,nom,15,言,,,,,
𲈫,U+3222B,nom,15,門,,,,,
𲌱,U+32331,nom,15,魚,,,,,
𲌲,U+32332,nom,15,魚,,,,,
󰀌,U+F000C,nom,15,丨,,,,,
󰀶,U+F0036,nom,15,人,,,,,
󰁎,U+F004E,nom,15,冫,,,,,
󰁟,U+F005F,nom,15,刀,,,,,
󰃎,U+F00CE,nom,15,口,,,,,
󰃐,U+F00D0,nom,15,口,,,,,
󰄶,U+F0136,nom,15,子,,,,,
󰅌,U+F014C,nom,15,小,,,,,
󰅦,U+F0166,nom,15,巛,,,,,
󰅭,U+F016D,nom,15,工,,,,,
󰅵,U+F0175,nom,15,己,,,,,
󰆏,U+F018F,nom,15,广,,,,,
󰇅,U+F01C5,nom,15,心,,,,,
󰇠,U+F01E0,nom,15,戈,,,,,
󰈦,U+F0226,nom,15,手,,,,,
󰈪,U+F022A,nom,15,竹,,,,,
󰈱,U+F0231,nom,15,手,,,,,
󰉎,U+F024E,nom,15,攵,,,,,
󰉦,U+F0266,nom,15,日,,,,,
󰉪,U+F026A,nom,15,日,,,,,
󰉫,U+F026B,nom,15,日,,,,,
󰊃,U+F0283,nom,15,月,,,,,
󰊖,U+F0296,nom,15,木,,,,,
󰊦,U+F02A6,nom,15,木,,,,,
󰊨,U+F02A8,nom,15,木,,,,,
󰋴,U+F02F4,nom,15,水,,,,,
󰋵,U+F02F5,nom,15,水,,,,,
󰋸,U+F02F8,nom,15,水,,,,,
󰌡,U+F0321,nom,15,火,,,,,
󰌷,U+F0337,nom,15,爿,,,,,
󰍀,U+F0340,nom,15,牜,,,,,
󰍁,U+F0341,nom,15,牜,,,,,
󰍲,U+F0372,nom,15,甘,,,,,
󰎅,U+F0385,nom,15,疒,,,,,
󰎚,U+F039A,nom,15,皿,,,,,
󰎫,U+F03AB,nom,15,目,,,,,
󰎰,U+F03B0,nom,15,目,,,,,
󰏉,U+F03C9,nom,15,石,,,,,
󰏊,U+F03CA,nom,15,石,,,,,
󰏋,U+F03CB,nom,15,石,,,,,
󰏥,U+F03E5,nom,15,𲋄,,,,,
󰏱,U+F03F1,nom,15,禾,,,,,
󰐌,U+F040C,nom,15,竹,,,,,
󰐍,U+F040D,nom,15,竹,,,,,
󰐎,U+F040E,nom,15,竹,,,,,
󰐏,U+F040F,nom,15,竹,,,,,
󰐐,U+F0410,nom,15,竹,,,,,
󰐑,U+F0411,nom,15,竹,,,,,
󰐒,U+F0412,nom,15,竹,,,,,
󰑙,U+F0459,nom,15,糸,,,,,
󰑞,U+F045E,nom,15,糸,,,,,
󰑺,U+F047A,nom,15,缶,,,,,
󰒍,U+F048D,nom,15,老,,,,,
󰒘,U+F0498,nom,15,耳,,,,,
󰒲,U+F04B2,nom,15,肉,,,,,
󰒳,U+F04B3,nom,15,肉,,,,,
󰒺,U+F04BA,nom,15,肉,,,,,
󰓭,U+F04ED,nom,15,艹,,,,,
󰓳,U+F04F3,nom,15,艹,,,,,
󰔖,U+F0516,nom,15,虫,,,,,
󰔗,U+F0517,nom,15,虫,,,,,
󰔰,U+F0530,nom,15,衣,,,,,
󰔴,U+F0534,nom,15,衣,,,,,
󰔾,U+F053E,nom,15,齿,,,,,
󰕣,U+F0563,nom,15,貝,,,,,
󰕥,U+F0565,nom,15,貝,,,,,
󰕫,U+F056B,nom,15,赤,,,,,
󰕾,U+F057E,nom,15,足,,,,,
󰕿,U+F057F,nom,15,足,,,,,
󰖪,U+F05AA,nom,15,辵,,,,,
󰗅,U+F05C5,nom,15,金,,,,,
󰗌,U+F05CC,nom,15,金,,,,,
󰗕,U+F05D5,nom,15,金,,,,,
󰗙,U+F05D9,nom,15,金,,,,,
󰗚,U+F05DA,nom,15,金,,,,,
󰘯,U+F062F,nom,15,飛,,,,,
󰚐,U+F0690,nom,15,鳥,,,,,
󰬮,U+F0B2E,nom,15,釆,,,,,
󰷖,U+F0DD6,nom,15,水,,,,,
󰸿,U+F0E3F,nom,15,牜,,,,,
󰺠,U+F0EA0,nom,15,皮,,,,,
󰺶,U+F0EB6,nom,15,目,,,,,
󰻿,U+F0EFF,nom,15,竹,,,,,
󱅮,U+F116E,nom,15,鳥,,,,,
󱆈,U+F1188,nom,15,齊,,,,,
󱇹,U+F11F9,nom,15,人,,,,,
󱋛,U+F12DB,nom,15,口,,,,,
𮰮,U+2EC2E,nom,16,土,,,,,
𰔫,U+3052B,nom,16,手,,,,,
𰟞,U+307DE,nom,16,火,,,,,
𰸣,U+30E23,nom,16,足,,,,,
𱄛,U+3111B,nom,16,馬,,,,,
𱑒,U+31452,nom,16,十,,,,,
𱘅,U+31605,nom,16,土,,,,,
𱘩,U+31629,nom,16,夕,,,,,
𱠼,U+3183C,nom,16,手,,,,,
𱢧,U+318A7,nom,16,日,,,,,
𱤒,U+31912,nom,16,木,,,,,
𱤔,U+31914,nom,16,木,,,,,
𱤕,U+31915,nom,16,木,,,,,
𱤘,U+31918,nom,16,木,,,,,
𱤚,U+3191A,nom,16,木,,,,,
𱩋,U+31A4B,nom,16,水,,,,,
𱹔,U+31E54,nom,16,米,,,,,
𱻢,U+31EE2,nom,16,羽,,,,,
𲀀,U+32000,nom,16,虫,,,,,
𲁰,U+32070,nom,16,言,,,,,
𲃱,U+320F1,nom,16,足,,,,,
𲃲,U+320F2,nom,16,足,,,,,
𲆴,U+321B4,nom,16,酉,,,,,
𲉇,U+32247,nom,16,門,,,,,
𲊀,U+32280,nom,16,雨,,,,,
𲎩,U+323A9,nom,16,齿,,,,,
󰁠,U+F0060,nom,16,刀,,,,,
󰃌,U+F00CC,nom,16,口,,,,,
󰃓,U+F00D3,nom,16,口,,,,,
󰄋,U+F010B,nom,16,土,,,,,
󰄍,U+F010D,nom,16,土,,,,,
󰄣,U+F0123,nom,16,大,,,,,
󰄱,U+F0131,nom,16,女,,,,,
󰄿,U+F013F,nom,16,宀,,,,,
󰅍,U+F014D,nom,16,小,,,,,
󰅠,U+F0160,nom,16,山,,,,,
󰅮,U+F016E,nom,16,工,,,,,
󰆂,U+F0182,nom,16,巾,,,,,
󰆈,U+F0188,nom,16,乡,,,,,
󰇓,U+F01D3,nom,16,心,,,,,
󰈥,U+F0225,nom,16,手,,,,,
󰈧,U+F0227,nom,16,手,,,,,
󰈨,U+F0228,nom,16,手,,,,,
󰈫,U+F022B,nom,16,手,,,,,
󰈬,U+F022C,nom,16,手,,,,,
󰈭,U+F022D,nom,16,手,,,,,
󰈰,U+F0230,nom,16,手,,,,,
󰉩,U+F0269,nom,16,日,,,,,
󰉮,U+F026E,nom,16,日,,,,,
󰉯,U+F026F,nom,16,日,,,,,
󰊬,U+F02AC,nom,16,木,,,,,
󰋪,U+F02EA,nom,16,水,,,,,
󰋱,U+F02F1,nom,16,水,,,,,
󰋺,U+F02FA,nom,16,水,,,,,
󰌢,U+F0322,nom,16,火,,,,,
󰌣,U+F0323,nom,16,火,,,,,
󰌤,U+F0324,nom,16,火,,,,,
󰌥,U+F0325,nom,16,火,,,,,
󰍙,U+F0359,nom,16,犬,,,,,
󰍚,U+F035A,nom,16,犬,,,,,
󰎆,U+F0386,nom,16,疒,,,,,
󰎴,U+F03B4,nom,16,目,,,,,
󰏍,U+F03CD,nom,16,石,,,,,
󰏳,U+F03F3,nom,16,禾,,,,,
󰏴,U+F03F4,nom,16,禾,,,,,
󰏼,U+F03FC,nom,16,穴,,,,,
󰐕,U+F0415,nom,16,竹,,,,,
󰐘,U+F0418,nom,16,竹,,,,,
󰐮,U+F042E,nom,16,米,,,,,
󰐰,U+F0430,nom,16,米,,,,,
󰑛,U+F045B,nom,16,糸,,,,,
󰑡,U+F0461,nom,16,糸,,,,,
󰑣,U+F0463,nom,16,糸,,,,,
󰑦,U+F0466,nom,16,糸,,,,,
󰑹,U+F0479,nom,16,缶,,,,,
󰒁,U+F0481,nom,16,罒,,,,,
󰒈,U+F0488,nom,16,羽,,,,,
󰒏,U+F048F,nom,16,耒,,,,,
󰒻,U+F04BB,nom,16,肉,,,,,
󰒼,U+F04BC,nom,16,肉,,,,,
󰓙,U+F04D9,nom,16,艹,,,,,
󰓴,U+F04F4,nom,16,艹,,,,,
󰓵,U+F04F5,nom,16,艹,,,,,
󰔳,U+F0533,nom,16,衣,,,,,
󰔵,U+F0535,nom,16,衣,,,,,
󰕁,U+F0541,nom,16,角,,,,,
󰕃,U+F0543,nom,16,角,,,,,
󰕄,U+F0544,nom,16,角,,,,,
󰕅,U+F0545,nom,16,角,,,,,
󰕆,U+F0546,nom,16,角,,,,,
󰕖,U+F0556,nom,16,言,,,,,
󰕢,U+F0562,nom,16,貝,,,,,
󰖬,U+F05AC,nom,16,辵,,,,,
󰗔,U+F05D4,nom,16,金,,,,,
󰗠,U+F05E0,nom,16,金,,,,,
󰘄,U+F0604,nom,16,門,,,,,
󰘅,U+F0605,nom,16,門,,,,,
󰘌,U+F060C,nom,16,阜,,,,,
󰘟,U+F061F,nom,16,韋,,,,,
󰙋,U+F064B,nom,16,髟,,,,,
󰚓,U+F0693,nom,16,鳥,,,,,
󰚕,U+F0695,nom,16,鳥,,,,,
󰛖,U+F06D6,nom,16,鳥,,,,,
󰝊,U+F074A,nom,16,手,,,,,
󰯋,U+F0BCB,nom,16,鬼,,,,,
󰷪,U+F0DEA,nom,16,水,,,,,
󰸡,U+F0E21,nom,16,火,,,,,
󰼽,U+F0F3D,nom,16,糸,,,,,
󰾗,U+F0F97,nom,16,肉,,,,,
󰾽,U+F0FBD,nom,16,自,,,,,
󱀷,U+F1037,nom,16,衣,,,,,
󱂵,U+F10B5,nom,16,辵,,,,,
󱅠,U+F1160,nom,16,髟,,,,,
󱋭,U+F12ED,nom,16,口,,,,,
𰃀,U+300C0,nom,17,人,,,,,
𰈸,U+30238,nom,17,口,,,,,
𰈼,U+3023C,nom,17,口,,,,,
𱏯,U+313EF,nom,17,人,,,,,
𱑭,U+3146D,nom,17,彐,,,,,
𱕑,U+31551,nom,17,口,,,,,
𱚪,U+316AA,nom,17,小,,,,,
𱚫,U+316AB,nom,17,小,,,,,
𱡃,U+31843,nom,17,手,,,,,
𱢭,U+318AD,nom,17,日,,,,,
𱢯,U+318AF,nom,17,日,,,,,
𱢻,U+318BB,nom,17,月,,,,,
𱤡,U+31921,nom,17,木,,,,,
𱤤,U+31924,nom,17,木,,,,,
𱥘,U+31958,nom,17,殳,,,,,
𱴴,U+31D34,nom,17,石,,,,,
𱸣,U+31E23,nom,17,竹,,,,,
𲆁,U+32181,nom,17,辵,,,,,
󰀊,U+F000A,nom,17,一,,,,,
󰀺,U+F003A,nom,17,儿,,,,,
󰁱,U+F0071,nom,17,十,,,,,
󰃙,U+F00D9,nom,17,口,,,,,
󰃝,U+F00DD,nom,17,口,,,,,
󰃞,U+F00DE,nom,17,口,,,,,
󰃡,U+F00E1,nom,17,口,,,,,
󰄝,U+F011D,nom,17,夕,,,,,
󰇒,U+F01D2,nom,17,心,,,,,
󰇔,U+F01D4,nom,17,心,,,,,
󰇕,U+F01D5,nom,17,心,,,,,
󰈲,U+F0232,nom,17,手,,,,,
󰈶,U+F0236,nom,17,手,,,,,
󰈹,U+F0239,nom,17,手,,,,,
󰈺,U+F023A,nom,17,手,,,,,
󰈻,U+F023B,nom,17,手,,,,,
󰉬,U+F026C,nom,17,日,,,,,
󰉰,U+F0270,nom,17,日,,,,,
󰉱,U+F0271,nom,17,日,,,,,
󰉳,U+F0273,nom,17,日,,,,,
󰉵,U+F0275,nom,17,日,,,,,
󰊮,U+F02AE,nom,17,木,,,,,
󰊽,U+F02BD,nom,17,歹,,,,,
󰋄,U+F02C4,nom,17,毛,,,,,
󰋆,U+F02C6,nom,17,气,,,,,
󰋶,U+F02F6,nom,17,水,,,,,
󰋼,U+F02FC,nom,17,水,,,,,
󰌦,U+F0326,nom,17,火,,,,,
󰌧,U+F0327,nom,17,火,,,,,
󰌨,U+F0328,nom,17,火,,,,,
󰌼,U+F033C,nom,17,㸦,,,,,
󰍭,U+F036D,nom,17,瓦,,,,,
󰎉,U+F0389,nom,17,疒,,,,,
󰎗,U+F0397,nom,17,皮,,,,,
󰎱,U+F03B1,nom,17,目,,,,,
󰎳,U+F03B3,nom,17,目,,,,,
󰏑,U+F03D1,nom,17,石,,,,,
󰏒,U+F03D2,nom,17,石,,,,,
󰐓,U+F0413,nom,17,竹,,,,,
󰐙,U+F0419,nom,17,竹,,,,,
󰐚,U+F041A,nom,17,竹,,,,,
󰐜,U+F041C,nom,17,竹,,,,,
󰑧,U+F0467,nom,17,糸,,,,,
󰑩,U+F0469,nom,17,糸,,,,,
󰒐,U+F0490,nom,17,耒,,,,,
󰒽,U+F04BD,nom,17,肉,,,,,
󰓲,U+F04F2,nom,17,艹,,,,,
󰓶,U+F04F6,nom,17,艹,,,,,
󰓷,U+F04F7,nom,17,艹,,,,,
󰓺,U+F04FA,nom,17,艹,,,,,
󰔋,U+F050B,nom,17,虫,,,,,
󰔚,U+F051A,nom,17,虫,,,,,
󰕂,U+F0542,nom,17,角,,,,,
󰖃,U+F0583,nom,17,足,,,,,
󰖄,U+F0584,nom,17,足,,,,,
󰗥,U+F05E5,nom,17,金,,,,,
󰗧,U+F05E7,nom,17,金,,,,,
󰘆,U+F0606,nom,17,門,,,,,
󰘹,U+F0639,nom,17,食,,,,,
󰘺,U+F063A,nom,17,食,,,,,
󰙊,U+F064A,nom,17,髟,,,,,
󰚖,U+F0696,nom,17,鳥,,,,,
󰚘,U+F0698,nom,17,鳥,,,,,
󰚵,U+F06B5,nom,17,卤,,,,,
󰛍,U+F06CD,nom,17,竜,,,,,
󰛏,U+F06CF,nom,17,龜,,,,,
󰛑,U+F06D1,nom,17,手,,,,,
󰜦,U+F0726,nom,17,虫,,,,,
󰤬,U+F092C,nom,17,刀,,,,,
󰬖,U+F0B16,nom,17,口,,,,,
󰶮,U+F0DAE,nom,17,毛,,,,,
󰷭,U+F0DED,nom,17,水,,,,,
󰺢,U+F0EA2,nom,17,皿,,,,,
󰻲,U+F0EF2,nom,17,穴,,,,,
󰼃,U+F0F03,nom,17,竹,,,,,
󱇽,U+F11FD,nom,17,人,,,,,
𱑮,U+3146E,nom,18,厶,,,,,
𱕔,U+31554,nom,18,口,,,,,
𱕚,U+3155A,nom,18,口,,,,,
𱕜,U+3155C,nom,18,口,,,,,
𱘔,U+31614,nom,18,土,,,,,
𱝂,U+31742,nom,18,干,,,,,
𱡅,U+31845,nom,18,手,,,,,
𱢱,U+318B1,nom,18,日,,,,,
𱢷,U+318B7,nom,18,曰,,,,,
𱤪,U+3192A,nom,18,木,,,,,
𱳍,U+31CCD,nom,18,目,,,,,
𱹞,U+31E5E,nom,18,米,,,,,
𲇔,U+321D4,nom,18,金,,,,,
𲇜,U+321DC,nom,18,金,,,,,
𲌬,U+3232C,nom,18,鬼,,,,,
󰃖,U+F00D6,nom,18,口,,,,,
󰃨,U+F00E8,nom,18,口,,,,,
󰃩,U+F00E9,nom,18,口,,,,,
󰃪,U+F00EA,nom,18,口,,,,,
󰄏,U+F010F,nom,18,土,,,,,
󰄤,U+F0124,nom,18,大,,,,,
󰅏,U+F014F,nom,18,小,,,,,
󰅐,U+F0150,nom,18,小,,,,,
󰅗,U+F0157,nom,18,尸,,,,,
󰅰,U+F0170,nom,18,工,,,,,
󰆉,U+F0189,nom,18,乡,,,,,
󰇖,U+F01D6,nom,18,心,,,,,
󰇡,U+F01E1,nom,18,戈,,,,,
󰇣,U+F01E3,nom,18,户,,,,,
󰈸,U+F0238,nom,18,手,,,,,
󰈿,U+F023F,nom,18,手,,,,,
󰉭,U+F026D,nom,18,日,,,,,
󰉷,U+F0277,nom,18,日,,,,,
󰊁,U+F0281,nom,18,曰,,,,,
󰋿,U+F02FF,nom,18,水,,,,,
󰌪,U+F032A,nom,18,火,,,,,
󰌫,U+F032B,nom,18,火,,,,,
󰌭,U+F032D,nom,18,火,,,,,
󰍂,U+F0342,nom,18,牜,,,,,
󰍣,U+F0363,nom,18,瓜,,,,,
󰍤,U+F0364,nom,18,瓜,,,,,
󰍯,U+F036F,nom,18,瓦,,,,,
󰍰,U+F0370,nom,18,瓦,,,,,
󰎾,U+F03BE,nom,18,矢,,,,,
󰐝,U+F041D,nom,18,竹,,,,,
󰐲,U+F0432,nom,18,米,,,,,
󰑪,U+F046A,nom,18,糸,,,,,
󰓐,U+F04D0,nom,18,色,,,,,
󰔜,U+F051C,nom,18,虫,,,,,
󰖇,U+F0587,nom,18,足,,,,,
󰖯,U+F05AF,nom,18,辵,,,,,
󰖰,U+F05B0,nom,18,辵,,,,,
󰖲,U+F05B2,nom,18,辵,,,,,
󰗬,U+F05EC,nom,18,金,,,,,
󰗭,U+F05ED,nom,18,金,,,,,
󰘖,U+F0616,nom,18,雨,,,,,
󰙤,U+F0664,nom,18,魚,,,,,
󰙥,U+F0665,nom,18,魚,,,,,
󰙧,U+F0667,nom,18,魚,,,,,
󰙩,U+F0669,nom,18,魚,,,,,
󰙪,U+F066A,nom,18,魚,,,,,
󰚚,U+F069A,nom,18,鳥,,,,,
󰚛,U+F069B,nom,18,鳥,,,,,
󰚶,U+F06B6,nom,18,卤,,,,,
󰜠,U+F0720,nom,18,田,,,,,
󰞲,U+F07B2,nom,18,彳,,,,,
󰫶,U+F0AF6,nom,18,目,,,,,
󰬥,U+F0B25,nom,18,夕,,,,,
󰯓,U+F0BD3,nom,18,鬼,,,,,
󰷷,U+F0DF7,nom,18,水,,,,,
󰿼,U+F0FFC,nom,18,艹,,,,,
󱀿,U+F103F,nom,18,衣,,,,,
󱁎,U+F104E,nom,18,言,,,,,
󱃓,U+F10D3,nom,18,邑,,,,,
󱉲,U+F1272,nom,18,土,,,,,
󱋲,U+F12F2,nom,18,口,,,,,
𰔺,U+3053A,nom,19,手,,,,,
𰘾,U+3063E,nom,19,木,,,,,
𱏰,U+313F0,nom,19,儿,,,,,
𱑕,U+31455,nom,19,十,,,,,
𱘾,U+3163E,nom,19,大,,,,,
𱜜,U+3171C,nom,19,工,,,,,
𱟦,U+317E6,nom,19,户,,,,,
𱟧,U+317E7,nom,19,户,,,,,
𱡌,U+3184C,nom,19,手,,,,,
𱤰,U+31930,nom,19,木,,,,,
𱪁,U+31A81,nom,19,水,,,,,
𲄆,U+32106,nom,19,足,,,,,
𲈳,U+32233,nom,19,門,,,,,
𲋺,U+322FA,nom,19,馬,,,,,
󰀼,U+F003C,nom,19,儿,,,,,
󰃭,U+F00ED,nom,19,口,,,,,
󰃮,U+F00EE,nom,19,口,,,,,
󰃰,U+F00F0,nom,19,口,,,,,
󰄐,U+F0110,nom,19,土,,,,,
󰄑,U+F0111,nom,19,土,,,,,
󰄓,U+F0113,nom,19,土,,,,,
󰅢,U+F0162,nom,19,山,,,,,
󰅣,U+F0163,nom,19,山,,,,,
󰅤,U+F0164,nom,19,山,,,,,
󰅯,U+F016F,nom,19,工,,,,,
󰆅,U+F0185,nom,19,干,,,,,
󰆒,U+F0192,nom,19,广,,,,,
󰉃,U+F0243,nom,19,手,,,,,
󰉴,U+F0274,nom,19,日,,,,,
󰊳,U+F02B3,nom,19,木,,,,,
󰌁,U+F0301,nom,19,水,,,,,
󰌬,U+F032C,nom,19,火,,,,,
󰍛,U+F035B,nom,19,犬,,,,,
󰎋,U+F038B,nom,19,疒,,,,,
󰎌,U+F038C,nom,19,疒,,,,,
󰎛,U+F039B,nom,19,皿,,,,,
󰎵,U+F03B5,nom,19,目,,,,,
󰎶,U+F03B6,nom,19,目,,,,,
󰎿,U+F03BF,nom,19,矢,,,,,
󰏔,U+F03D4,nom,19,石,,,,,
󰏶,U+F03F6,nom,19,禾,,,,,
󰏽,U+F03FD,nom,19,穴,,,,,
󰐶,U+F0436,nom,19,米,,,,,
󰒅,U+F0485,nom,19,羊,,,,,
󰒉,U+F0489,nom,19,羽,,,,,
󰒝,U+F049D,nom,19,肀,,,,,
󰒾,U+F04BE,nom,19,肉,,,,,
󰒿,U+F04BF,nom,19,肉,,,,,
󰓼,U+F04FC,nom,19,艹,,,,,
󰔝,U+F051D,nom,19,虫,,,,,
󰔟,U+F051F,nom,19,虫,,,,,
󰕬,U+F056C,nom,19,赤,,,,,
󰕭,U+F056D,nom,19,赤,,,,,
󰕮,U+F056E,nom,19,赤,,,,,
󰕯,U+F056F,nom,19,赤,,,,,
󰕰,U+F0570,nom,19,走,,,,,
󰖉,U+F0589,nom,19,足,,,,,
󰖏,U+F058F,nom,19,足,,,,,
󰖱,U+F05B1,nom,19,辵,,,,,
󰗮,U+F05EE,nom,19,金,,,,,
󰘦,U+F0626,nom,19,頁,,,,,
󰘮,U+F062E,nom,19,風,,,,,
󰙌,U+F064C,nom,19,髟,,,,,
󰙔,U+F0654,nom,19,鬼,,,,,
󰙫,U+F066B,nom,19,魚,,,,,
󰙴,U+F0674,nom,19,魚,,,,,
󰚜,U+F069C,nom,19,鳥,,,,,
󰚻,U+F06BB,nom,19,麥,,,,,
󰻖,U+F0ED6,nom,19,石,,,,,
󰾱,U+F0FB1,nom,19,肉,,,,,
󱃙,U+F10D9,nom,19,酉,,,,,
󱄉,U+F1109,nom,19,雨,,,,,
𰫕,U+30AD5,nom,20,米,,,,,
𱐨,U+31428,nom,20,刀,,,,,
𱤲,U+31932,nom,20,木,,,,,
𱶬,U+31DAC,nom,20,禾,,,,,
𲀍,U+3200D,nom,20,虫,,,,,
𲇣,U+321E3,nom,20,金,,,,,
𲇤,U+321E4,nom,20,金,,,,,
𲌼,U+3233C,nom,20,魚,,,,,
𲎚,U+3239A,nom,20,鼔,,,,,
󰀸,U+F0038,nom,20,人,,,,,
󰊵,U+F02B5,nom,20,木,,,,,
󰋾,U+F02FE,nom,20,水,,,,,
󰌮,U+F032E,nom,20,火,,,,,
󰍴,U+F0374,nom,20,生,,,,,
󰎍,U+F038D,nom,20,疒,,,,,
󰎎,U+F038E,nom,20,疒,,,,,
