character,unicode,type,stroke_count,radical,code,note
海,U+6D77,han,10,水,C1,phonetic loan; hai → hải
明,U+660E,han,8,日,E1,sun + moon = bright (compound ideograph)
天,U+5929,han,4,大,A1,Sino-Vietnamese sky
林,U+6797,han,8,木,E1,two trees = forest
媽,U+5ABD,han,13,女,F2,phono-semantic: woman + MA
𡗶,U+215F6,nom,8,大,E1,"Nôm ""trời"" = sky + above"
𠊛,U+202DB,nom,11,人,F2,"Nôm ""người"" = person + NGAI phonetic"
